Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Forecasting the software engineering model’s effort estimation using constructive cost estimation models,Iran Journal of Computer Science,,,,10.1007/s42044-024-00194-9,Mohammed Naif Alatawi,2024,https://link.springer.com/article/10.1007/s42044-024-00194-9,Article
Fairness-aware machine learning engineering: how far are we?,Empirical Software Engineering,,,,10.1007/s10664-023-10402-y,Carmine FerraraGiulia SellittoFilomena FerrucciFabio PalombaAndrea De Lucia,2023,https://link.springer.com/article/10.1007/s10664-023-10402-y,Article
A systematic mapping of semi-formal and formal methods in requirements engineering of industrial Cyber-Physical systems,Journal of Intelligent Manufacturing,,,,10.1007/s10845-021-01753-8,Farzana ZahidAwais TanveerMatthew M. Y. KuoRoopak Sinha,2021,https://link.springer.com/article/10.1007/s10845-021-01753-8,Article
"A semi-automated BPMN-based framework for detecting conflicts between security, data-minimization, and fairness requirements",Software and Systems Modeling,,,,10.1007/s10270-020-00781-x,Qusai RamadanDaniel StrüberMattia SalnitriJan JürjensVolker RiedigerSteffen Staab,2020,https://link.springer.com/article/10.1007/s10270-020-00781-x,Article
Testing Machine Learning and Deep Learning Systems: Achievements and Challenges,Arabian Journal for Science and Engineering,,,,10.1007/s13369-025-10276-w,Salma AlbelaliMoataz Ahmed,2025,https://link.springer.com/article/10.1007/s13369-025-10276-w,Article
"Adding liveness to behavioral programming: theory, implementation, and user study",Requirements Engineering,,,,10.1007/s00766-025-00439-4,Tom YaacovAchiya ElyasafGera Weiss,2025,https://link.springer.com/article/10.1007/s00766-025-00439-4,Article
Specification overfitting in artificial intelligence,Artificial Intelligence Review,,,,10.1007/s10462-024-11040-6,Benjamin RothPedro Henrique Luz de AraujoYuxi XiaSaskia KaltenbrunnerChristoph Korab,2024,https://link.springer.com/article/10.1007/s10462-024-11040-6,Article
Managing bias and unfairness in data for decision support: a survey of machine learning and data engineering approaches to identify and mitigate bias and unfairness within data management and analytics systems,The VLDB Journal,,,,10.1007/s00778-021-00671-8,Agathe BalaynChristoph LofiGeert-Jan Houben,2021,https://link.springer.com/article/10.1007/s00778-021-00671-8,Article
Negotiating AI fairness: a call for rebalancing power relations,AI & SOCIETY,,,,10.1007/s00146-025-02653-8,Marta GibinEmmanouil KrasanakisKęstutis Grumodas,2025,https://link.springer.com/article/10.1007/s00146-025-02653-8,Article
"Educating Software and AI Stakeholders About Algorithmic Fairness, Accountability, Transparency and Ethics",International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-021-00248-0,Veronika BoginaAlan HartmanTsvi KuflikAvital Shulner-Tal,2021,https://link.springer.com/article/10.1007/s40593-021-00248-0,Article
"Navigating fairness: practitioners’ understanding, challenges, and strategies in AI/ML development",Empirical Software Engineering,,,,10.1007/s10664-025-10650-0,Aastha PantRashina HodaChakkrit TantithamthavornBurak Turhan,2025,https://link.springer.com/article/10.1007/s10664-025-10650-0,Article
MBFair: a model-based verification methodology for detecting violations of individual fairness,Software and Systems Modeling,,,,10.1007/s10270-024-01184-y,Qusai RamadanMarco KonersmannAmir Shayan AhmadianJan JürjensSteffen Staab,2024,https://link.springer.com/article/10.1007/s10270-024-01184-y,Article
Construction of a quality model for machine learning systems,Software Quality Journal,,,,10.1007/s11219-021-09557-y,Julien SiebertLisa JoeckelJens HeidrichAdam TrendowiczKoji NakamichiKyoko OhashiIsao NambaRieko YamamotoMikio Aoyama,2021,https://link.springer.com/article/10.1007/s11219-021-09557-y,Article
When Crowdsourcing Meets Data Markets: A Fair Data Value Metric for Data Trading,Journal of Computer Science and Technology,,,,10.1007/s11390-023-2519-0,Yang-Su LiuZhen-Zhe ZhengFan WuGui-Hai Chen,2024,https://link.springer.com/article/10.1007/s11390-023-2519-0,Article
A refinement-based development of a distributed signalling system,Formal Aspects of Computing,,,,10.1007/s00165-021-00567-y,Paulius StankaitisAlexei IliasovTsutomu KobayashiYamine Aït-AmeurFuyuki IshikawaAlexander Romanovsky,2021,https://link.springer.com/article/10.1007/s00165-021-00567-y,Article
Fairness analysis of extra-gain guilty of a non-repudiation protocol,Frontiers of Information Technology & Electronic Engineering,,,,10.1631/FITEE.2100413,Xu Guo,2022,https://link.springer.com/article/10.1631/FITEE.2100413,Article
Towards an integrated formal method for verification of liveness properties in distributed systems: with application to population protocols,Software & Systems Modeling,,,,10.1007/s10270-015-0504-y,Dominique MéryMichael Poppleton,2015,https://link.springer.com/article/10.1007/s10270-015-0504-y,Article
Specification and Verification of Concurrent Programs Through Refinements,Journal of Automated Reasoning,,,,10.1007/s10817-012-9258-1,Sandip RayRob Sumners,2012,https://link.springer.com/article/10.1007/s10817-012-9258-1,Article
Models and emerging trends of concurrent constraint programming,Constraints,,,,10.1007/s10601-013-9145-3,Carlos OlarteCamilo RuedaFrank D. Valencia,2013,https://link.springer.com/article/10.1007/s10601-013-9145-3,Article
A Novel Immune Optimization Algorithm for Fairness Resource Allocation in Cognitive Wireless Network,Wireless Personal Communications,,,,10.1007/s11277-012-0657-8,Zheng-Yi ChaiFang LiuYu-Tao QiJian-She Wu,2012,https://link.springer.com/article/10.1007/s11277-012-0657-8,Article
Computer assisted radiology - 26th international congress and exhibition,International Journal of Computer Assisted Radiology and Surgery,,,,10.1007/s11548-012-0736-z,,2012,https://link.springer.com/article/10.1007/s11548-012-0736-z,Article
An implementation of a replicated file server supporting the crash-recovery failure model,The Journal of Supercomputing,,,,10.1007/s11227-010-0431-1,Itziar Arrieta-SalinasJosé Enrique Armendáriz-IñigoJosé Ramón Juárez-RodríguezJosé Ramón González de Mendívil,2010,https://link.springer.com/article/10.1007/s11227-010-0431-1,Article
Timed automata for metric interval temporal logic formulae in prototype verification system,Journal of Shanghai University (English Edition),,,,10.1007/s11741-008-0411-2,Qing-guo XuHuai-kou Miao,2008,https://link.springer.com/article/10.1007/s11741-008-0411-2,Article
"
   An industrial application of symbolic model checking
  ",Informatik - Forschung und Entwicklung,,,,10.1007/s00450-007-0032-2,Florian KammüllerSören Preibusch,2007,https://link.springer.com/article/10.1007/s00450-007-0032-2,Article
A Mobile Ticket System Based on Personal Trusted Device,Wireless Personal Communications,,,,10.1007/s11277-006-9122-x,Yu-Yi ChenChin-Ling ChenJinn-Ke Jan,2006,https://link.springer.com/article/10.1007/s11277-006-9122-x,Article
Toward diagrammability and efficiency in event-sequence languages,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-005-0195-8,Kathi Fisler,2006,https://link.springer.com/article/10.1007/s10009-005-0195-8,Article
Action systems in incremental and aspect-oriented modeling,Distributed Computing,,,,10.1007/s00446-003-0090-z,R. Kurki-Suonio,2003,https://link.springer.com/article/10.1007/s00446-003-0090-z,Article
Analysis of Timed Systems Using Time-Abstracting Bisimulations,Formal Methods in System Design,,,,10.1023/A:1008734703554,Stavros TripakisSergio Yovine,2001,https://link.springer.com/article/10.1023/A:1008734703554,Article
Lazy caching in TLA,Distributed Computing,,,,10.1007/s004460050063,Peter LadkinLeslie LamportBryan OlivierDenis Roegel,1999,https://link.springer.com/article/10.1007/s004460050063,Article
Data refinement of mixed specifications,Acta Informatica,,,,10.1007/s002360050115,Beverly A. Sanders,1998,https://link.springer.com/article/10.1007/s002360050115,Article
"Real-time system = discrete system + clock variables
",International Journal on Software Tools for Technology Transfer,,,,10.1007/s100090050007,Rajeev AlurThomas A.,1997,https://link.springer.com/article/10.1007/s100090050007,Article
