Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"How mature is requirements engineering for AI-based systems? A systematic mapping study on practices, challenges, and future research directions",Requirements Engineering,,,,10.1007/s00766-024-00432-3,Umm-e- HabibaMarkus HaugJustus BognerStefan Wagner,2024,https://link.springer.com/article/10.1007/s00766-024-00432-3,Article
Operationalising AI ethics through the agile software development lifecycle: a case study of AI-enabled mobile health applications,AI and Ethics,,,,10.1007/s43681-023-00331-3,Lameck Mbangula AmugongoAlexander KriebitzAuxane BochChristoph Lütge,2023,https://link.springer.com/article/10.1007/s43681-023-00331-3,Article
ESR Essentials: how to get to valuable radiology AI: the role of early health technology assessment—practice recommendations by the European Society of Medical Imaging Informatics,European Radiology,,,,10.1007/s00330-024-11188-3,Erik H. M. KemperHendrik ErensteinBart-Jan BoverhofKen RedekopAnna E. AndreychenkoMatthias DietzelKevin B. W. Groot LipmanMerel HuismanMichail E. KlontzasFrans VosMaarten IJzermanMartijn P. A. StarmansJacob J. Visser,2024,https://link.springer.com/article/10.1007/s00330-024-11188-3,Article
From AI Ethics Principles to Practices: A Teleological Methodology to Apply AI Ethics Principles in The Defence Domain,Philosophy & Technology,,,,10.1007/s13347-024-00710-6,Mariarosaria TaddeoAlexander BlanchardChristopher Thomas,2024,https://link.springer.com/article/10.1007/s13347-024-00710-6,Article
MBFair: a model-based verification methodology for detecting violations of individual fairness,Software and Systems Modeling,,,,10.1007/s10270-024-01184-y,Qusai RamadanMarco KonersmannAmir Shayan AhmadianJan JürjensSteffen Staab,2024,https://link.springer.com/article/10.1007/s10270-024-01184-y,Article
Ethical challenges and software test automation,AI and Ethics,,,,10.1007/s43681-025-00804-7,Per Erik StrandbergEduard Paul EnoiuMirgita Frasheri,2025,https://link.springer.com/article/10.1007/s43681-025-00804-7,Article
An ontology-based approach to engineering ethicality requirements,Software and Systems Modeling,,,,10.1007/s10270-023-01115-3,Renata GuizzardiGlenda AmaralGiancarlo GuizzardiJohn Mylopoulos,2023,https://link.springer.com/article/10.1007/s10270-023-01115-3,Article
AI-powered recommender systems and the preservation of personal autonomy,AI & SOCIETY,,,,10.1007/s00146-023-01720-2,Juan Ignacio del ValleFrancisco Lara,2023,https://link.springer.com/article/10.1007/s00146-023-01720-2,Article
"Educating Software and AI Stakeholders About Algorithmic Fairness, Accountability, Transparency and Ethics",International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-021-00248-0,Veronika BoginaAlan HartmanTsvi KuflikAvital Shulner-Tal,2021,https://link.springer.com/article/10.1007/s40593-021-00248-0,Article
Artificial intelligence for system security assurance: A systematic literature review,International Journal of Information Security,,,,10.1007/s10207-024-00959-0,Shao-Fang WenAnkur ShuklaBasel Katt,2024,https://link.springer.com/article/10.1007/s10207-024-00959-0,Article
"Generative Artificial Intelligence: Evolving Technology, Growing Societal Impact, and Opportunities for Information Systems Research",Information Systems Frontiers,,,,10.1007/s10796-025-10581-7,Veda C. StoreyWei Thoo YueJ. Leon ZhaoRoman Lukyanenko,2025,https://link.springer.com/article/10.1007/s10796-025-10581-7,Article
Keeping judges in the loop: a human–machine collaboration strategy against the blind spots of AI in criminal justice,Soft Computing,,,,10.1007/s00500-023-08604-z,Nicola LettieriAlfonso GuarinoRocco ZaccagninoDelfina Malandrino,2023,https://link.springer.com/article/10.1007/s00500-023-08604-z,Article
Guiding the implementation of data privacy with microservices,International Journal of Information Security,,,,10.1007/s10207-024-00907-y,Pedro AntunesNuno Guimarães,2024,https://link.springer.com/article/10.1007/s10207-024-00907-y,Article
Understanding the GDPR from a requirements engineering perspective—a systematic mapping study on regulatory data protection requirements,Requirements Engineering,,,,10.1007/s00766-024-00423-4,Claudia Negri-RibaltaMarius Lombard-PlatetCamille Salinesi,2024,https://link.springer.com/article/10.1007/s00766-024-00423-4,Article
On the use of large language models in model-driven engineering,Software and Systems Modeling,,,,10.1007/s10270-025-01263-8,Juri Di RoccoDavide Di RuscioClaudio Di SipioPhuong T. NguyenRiccardo Rubei,2025,https://link.springer.com/article/10.1007/s10270-025-01263-8,Article
Systematic literature review on software quality for AI-based software,Empirical Software Engineering,,,,10.1007/s10664-021-10105-2,Bahar GeziciAyça Kolukısa Tarhan,2022,https://link.springer.com/article/10.1007/s10664-021-10105-2,Article
Non-functional requirements for machine learning: understanding current use and challenges among practitioners,Requirements Engineering,,,,10.1007/s00766-022-00395-3,Khan Mohammad HabibullahGregory GayJennifer Horkoff,2023,https://link.springer.com/article/10.1007/s00766-022-00395-3,Article
RM4ML: requirements model for machine learning-enabled software systems,Requirements Engineering,,,,10.1007/s00766-024-00431-4,Yilong YangBingjie ZengJuntao Gao,2024,https://link.springer.com/article/10.1007/s00766-024-00431-4,Article
Value Sensitive Design to Achieve the UN SDGs with AI: A Case of Elderly Care Robots,Minds and Machines,,,,10.1007/s11023-021-09561-y,Steven UmbrelloMarianna CapassoMaurizio BalistreriAlberto PirniFederica Merenda,2021,https://link.springer.com/article/10.1007/s11023-021-09561-y,Article
Theme section on model-driven requirements engineering,Software and Systems Modeling,,,,10.1007/s10270-022-01055-4,Ana MoreiraGunter MussbacherJoão AraújoPablo Sánchez,2022,https://link.springer.com/article/10.1007/s10270-022-01055-4,Article
Human factors in model-driven engineering: future research goals and initiatives for MDE,Software and Systems Modeling,,,,10.1007/s10270-024-01188-8,Grischa LiebelJil KlünderRegina HebigChristopher LazikInês NunesIsabella GraßlJan-Philipp SteghöferJoeri ExelmansJulian OertelKai MarquardtKatharina JuhnkeKurt SchneiderLucas GrenLucia HappeMarc HerrmannMarvin WyrichMatthias TichyMiguel GoulãoRebekka WohlrabReyhaneh KalantariRobert HeinrichSandra GreinerSatrio Adi RukmonoShalini ChakrabortySilvia AbrahãoVasco Amaral,2024,https://link.springer.com/article/10.1007/s10270-024-01188-8,Article
A real-time wearable AR system for egocentric vision on the edge,Virtual Reality,,,,10.1007/s10055-023-00937-2,Iason KarakostasAikaterini ValakouDespoina GavgiotakiZinovia StefanidiIoannis PastaltzidisGrigorios TsipouridisNikolaos KilisKonstantinos C. ApostolakisStavroula NtoaNikolaos DimitriouGeorge MargetisDimitrios Tzovaras,2024,https://link.springer.com/article/10.1007/s10055-023-00937-2,Article
From Pluralistic Normative Principles to Autonomous-Agent Rules,Minds and Machines,,,,10.1007/s11023-022-09614-w,Beverley TownsendColin PatersonT. T. ArvindGabriel NemirovskyRadu CalinescuAna CavalcantiIbrahim HabliAlan Thomas,2022,https://link.springer.com/article/10.1007/s11023-022-09614-w,Article
"Large language models for software vulnerability detection: a guide for researchers on models, methods, techniques, datasets, and metrics",International Journal of Information Security,,,,10.1007/s10207-025-00992-7,Seyed Mohammad Taghavi FarFarid Feyzi,2025,https://link.springer.com/article/10.1007/s10207-025-00992-7,Article
"Deep learning-based software engineering: progress, challenges, and opportunities",Science China Information Sciences,,,,10.1007/s11432-023-4127-5,Xiangping ChenXing HuYuan HuangHe JiangWeixing JiYanjie JiangYanyan JiangBo LiuHui LiuXiaochen LiXiaoli LianGuozhu MengXin PengHailong SunLin ShiBo WangChong WangJiayi WangTiantian WangJifeng XuanXin XiaYibiao YangYixin YangLi ZhangYuming ZhouLu Zhang,2024,https://link.springer.com/article/10.1007/s11432-023-4127-5,Article
Ethics in the Software Development Process: from Codes of Conduct to Ethical Deliberation,Philosophy & Technology,,,,10.1007/s13347-021-00451-w,Jan GogollNiina ZuberSeverin KaciankaTimo GregerAlexander PretschnerJulian Nida-Rümelin,2021,https://link.springer.com/article/10.1007/s13347-021-00451-w,Article
"A semi-automated BPMN-based framework for detecting conflicts between security, data-minimization, and fairness requirements",Software and Systems Modeling,,,,10.1007/s10270-020-00781-x,Qusai RamadanDaniel StrüberMattia SalnitriJan JürjensVolker RiedigerSteffen Staab,2020,https://link.springer.com/article/10.1007/s10270-020-00781-x,Article
Managing bias and unfairness in data for decision support: a survey of machine learning and data engineering approaches to identify and mitigate bias and unfairness within data management and analytics systems,The VLDB Journal,,,,10.1007/s00778-021-00671-8,Agathe BalaynChristoph LofiGeert-Jan Houben,2021,https://link.springer.com/article/10.1007/s00778-021-00671-8,Article
ESICM LIVES 2025,Intensive Care Medicine Experimental,,,,10.1186/s40635-025-00797-x,,2025,https://link.springer.com/article/10.1186/s40635-025-00797-x,Article
