Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Fairness-preserving framework for machine learning: data bias quantification, model evaluation, and robustness across multiple datasets",AI and Ethics,,,,10.1007/s43681-025-00874-7,Shahadat UddinHaohui LuFarshid Hajati,2025,https://link.springer.com/article/10.1007/s43681-025-00874-7,Article
Fairness as a Service (FaaS): verifiable and privacy-preserving fairness auditing of machine learning systems,International Journal of Information Security,,,,10.1007/s10207-023-00774-z,Ehsan ToreiniMaryam MehrnezhadAad van Moorsel,2023,https://link.springer.com/article/10.1007/s10207-023-00774-z,Article
"Trustworthy artificial intelligence in Alzheimer’s disease: state of the art, opportunities, and challenges",Artificial Intelligence Review,,,,10.1007/s10462-023-10415-5,Shaker El-SappaghJose M. Alonso-MoralTamer AbuhmedFarman AliAlberto Bugarín-Diz,2023,https://link.springer.com/article/10.1007/s10462-023-10415-5,Article
Technical challenges and perception: does AI have a PR issue?,AI and Ethics,,,,10.1007/s43681-023-00316-2,Marie Oldfield,2023,https://link.springer.com/article/10.1007/s43681-023-00316-2,Article
A fairness scale for real-time recidivism forecasts using a national database of convicted offenders,Neural Computing and Applications,,,,10.1007/s00521-025-11478-x,Jacob VerreyPeter NeyroudLawrence ShermanBarak Ariel,2025,https://link.springer.com/article/10.1007/s00521-025-11478-x,Article
From Algorithms to Connectivity: A Comprehensive Review of Traffic Signal Optimization and Communication Based Cooperative Control,Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10455-w,Viral PatelNilesh Maltare,2025,https://link.springer.com/article/10.1007/s11831-025-10455-w,Article
Empowering secure and sustainable healthcare through federated learning and blockchain synergies in a Medical Internet of Things,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-025-02698-7,Jing WangSarbajit MannaMuammer AksoyArindam SarkarMd Arafatur RahmanAbdulfattah NoorwaliKamal M. OthmanMohammed J. F. Alenazi,2025,https://link.springer.com/article/10.1007/s13042-025-02698-7,Article
<i>MinMax fairness</i>: from Rawlsian Theory of Justice to solution for algorithmic bias,AI & SOCIETY,,,,10.1007/s00146-022-01577-x,Flavia BarsottiRüya Gökhan Koçer,2022,https://link.springer.com/article/10.1007/s00146-022-01577-x,Article
Measuring and mitigating biases in motor insurance pricing,European Actuarial Journal,,,,10.1007/s13385-024-00390-8,Mulah MoriahFranck VermetArthur Charpentier,2024,https://link.springer.com/article/10.1007/s13385-024-00390-8,Article
Machine intelligence in non-invasive endocrine cancer diagnostics,Nature Reviews Endocrinology,,,,10.1038/s41574-021-00543-9,Nicole M. ThomasianIhab R. KamelHarrison X. Bai,2021,https://link.springer.com/article/10.1038/s41574-021-00543-9,Article
