Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
How do ML practitioners perceive explainability? an interview study of practices and challenges,Empirical Software Engineering,,,,10.1007/s10664-024-10565-2,Umm-e- HabibaMohammad Kasra HabibJustus BognerJonas FritzschStefan Wagner,2024,https://link.springer.com/article/10.1007/s10664-024-10565-2,Article
Fairness as a Service (FaaS): verifiable and privacy-preserving fairness auditing of machine learning systems,International Journal of Information Security,,,,10.1007/s10207-023-00774-z,Ehsan ToreiniMaryam MehrnezhadAad van Moorsel,2023,https://link.springer.com/article/10.1007/s10207-023-00774-z,Article
"Testing autonomous vehicles and AI: perspectives and challenges from cybersecurity, transparency, robustness and fairness",European Transport Research Review,,,,10.1186/s12544-025-00732-x,David Fernández LlorcaRonan HamonHenrik JunklewitzKathrin GrosseLars KunzePatrick SeinigerRobert SwaimNick ReedAlexandre AlahiEmilia GómezIgnacio SánchezAkos Kriston,2025,https://link.springer.com/article/10.1186/s12544-025-00732-x,Article
Logging requirement for continuous auditing of responsible machine learning-based applications,Empirical Software Engineering,,,,10.1007/s10664-025-10656-8,Patrick Loic FoalemLeuson Da SilvaFoutse KhomhHeng LiEttore Merlo,2025,https://link.springer.com/article/10.1007/s10664-025-10656-8,Article
Cherry on the cake: fairness is NOT an optimization problem,Machine Learning,,,,10.1007/s10994-025-06792-3,Marco FavierToon Calders,2025,https://link.springer.com/article/10.1007/s10994-025-06792-3,Article
On the impact of multi-dimensional local differential privacy on fairness,Data Mining and Knowledge Discovery,,,,10.1007/s10618-024-01031-0,Karima MakhloufHéber H. ArcoleziSami ZhiouaGhassen Ben BrahimCatuscia Palamidessi,2024,https://link.springer.com/article/10.1007/s10618-024-01031-0,Article
Fairness and bias correction in machine learning for depression prediction across four study populations,Scientific Reports,,,,10.1038/s41598-024-58427-7,Vien Ngoc DangAnna CascaranoRosa H. MulderCharlotte CecilMaria A. ZuluagaJerónimo Hernández-GonzálezKarim Lekadir,2024,https://link.springer.com/article/10.1038/s41598-024-58427-7,Article
Responsible guidelines for authorship attribution tasks in NLP,Ethics and Information Technology,,,,10.1007/s10676-025-09821-w,Vageesh SaxenaAurelia Tamò-LarrieuxGijs Van DijckGerasimos Spanakis,2025,https://link.springer.com/article/10.1007/s10676-025-09821-w,Article
"Signals, systems, and strategy: understanding responsible AI in autonomous environments",AI and Ethics,,,,10.1007/s43681-025-00896-1,uday nedunuriAbhijitdas GuptaDebashis Guha,2025,https://link.springer.com/article/10.1007/s43681-025-00896-1,Article
"To share or not to share, that is the question: a qualitative study of Chinese astronomers’ perceptions, practices, and hesitations about open data sharing",Humanities and Social Sciences Communications,,,,10.1057/s41599-024-03570-9,Jinya LiuKunhua ZhaoLiping GuHuichuan Xia,2024,https://link.springer.com/article/10.1057/s41599-024-03570-9,Article
Modelling the long-term fairness dynamics of data-driven targeted help on job seekers,Scientific Reports,,,,10.1038/s41598-023-28874-9,Sebastian ScherSimone KopeinikAndreas TrüglerDominik Kowald,2023,https://link.springer.com/article/10.1038/s41598-023-28874-9,Article
"Human-centered perspectives on trust, usability, and ethical concerns in machine vision applications",AI and Ethics,,,,10.1007/s43681-025-00950-y,Richard MarfoArnost Vesely,2025,https://link.springer.com/article/10.1007/s43681-025-00950-y,Article
Integrating minds: adaptive knowledge sharing strategies for ML team synergy,"Cognition, Technology & Work",,,,10.1007/s10111-025-00822-9,Giulio Toscani,2025,https://link.springer.com/article/10.1007/s10111-025-00822-9,Article
Developing user-centered system design guidelines for explainable AI: a systematic literature review,Artificial Intelligence Review,,,,10.1007/s10462-025-11363-y,San HongWoojin Park,2025,https://link.springer.com/article/10.1007/s10462-025-11363-y,Article
Should educational AI models include gender attribute? explaining the why based on environmental psychology course with gender imbalance,Journal of Computing in Higher Education,,,,10.1007/s12528-025-09467-z,Hai LiWanli XingWangda ZhuShan ZhangZifeng Liu,2025,https://link.springer.com/article/10.1007/s12528-025-09467-z,Article
What students really think: unpacking AI ethics in educational assessments through a triadic framework,International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-025-00556-8,Tristan LimSwapna GottipatiMichelle Cheong,2025,https://link.springer.com/article/10.1186/s41239-025-00556-8,Article
Ethical principles for artificial intelligence in education: a meta-review approach,AI and Ethics,,,,10.1007/s43681-025-00878-3,Mihiri WickramasingheLasith GunawardenaAmitha Padukkage,2025,https://link.springer.com/article/10.1007/s43681-025-00878-3,Article
AI and Legal Labels: How Algorithms Shape Criminal Justice,International Journal for the Semiotics of Law - Revue internationale de Sémiotique juridique,,,,10.1007/s11196-025-10405-6,Vidisha ShekhawatPranjal Khare,2025,https://link.springer.com/article/10.1007/s11196-025-10405-6,Article
Ethical aspects of AI use in the circular economy,AI & SOCIETY,,,,10.1007/s00146-025-02436-1,Iryna Bashynska,2025,https://link.springer.com/article/10.1007/s00146-025-02436-1,Article
"AI-powered learning analytics dashboards: a systematic review of applications, techniques, and research gaps",Discover Education,,,,10.1007/s44217-025-00964-y,Luís CabralRui PintoGil Gonçalves,2025,https://link.springer.com/article/10.1007/s44217-025-00964-y,Article
On the Philosophical Naivety of Engineers in the Age of Machine Learning,Topoi,,,,10.1007/s11245-025-10304-2,M. Z. Naser,2025,https://link.springer.com/article/10.1007/s11245-025-10304-2,Article
On the Readiness of Scientific Data Papers for a Fair and Transparent Use in Machine Learning,Scientific Data,,,,10.1038/s41597-025-04402-4,Joan Giner-MiguelezAbel GómezJordi Cabot,2025,https://link.springer.com/article/10.1038/s41597-025-04402-4,Article
Determinants of crowdshipping participation in public transport: an Australian survey and international insights,Public Transport,,,,10.1007/s12469-025-00409-7,Mohammad MalekiScott RayburgStephen Glackin,2025,https://link.springer.com/article/10.1007/s12469-025-00409-7,Article
Professional judgement: a social practice perspective on a multiple mini-interview for specialty training selection,BMC Medical Education,,,,10.1186/s12909-024-06535-3,Chris RobertsAnnette BurgessKaryn MossmanKoshila Kumar,2025,https://link.springer.com/article/10.1186/s12909-024-06535-3,Article
Quality assurance strategies for machine learning applications in big data analytics: an overview,Journal of Big Data,,,,10.1186/s40537-024-01028-y,Mihajlo OgrizovićDražen DraškovićDragan Bojić,2024,https://link.springer.com/article/10.1186/s40537-024-01028-y,Article
Understanding how users may work around algorithmic bias,AI & SOCIETY,,,,10.1007/s00146-025-02498-1,Hannah Overbye-ThompsonRonald E. Rice,2025,https://link.springer.com/article/10.1007/s00146-025-02498-1,Article
Human-artificial intelligence collaboration in supply chain outcomes: the mediating role of responsible artificial intelligence,Annals of Operations Research,,,,10.1007/s10479-025-06534-7,Emilia Vann YarosonAmélie AbadieMélanie Roux,2025,https://link.springer.com/article/10.1007/s10479-025-06534-7,Article
