Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"AI systems should be trustworthy, not trusted",AI & SOCIETY,,,,10.1007/s00146-025-02728-6,Giacomo Zanotti,2025,https://link.springer.com/article/10.1007/s00146-025-02728-6,Article
Establish legal and regulatory standards for the testing and validation of AI systems to ensure their reliability and safety in operational environments,International Journal of System Assurance Engineering and Management,,,,10.1007/s13198-025-02865-7,Legha Mamta RanjitsinghT. V. Subba Rao,2025,https://link.springer.com/article/10.1007/s13198-025-02865-7,Article
"Navigating AI conformity: A design framework to assess fairness, explainability, and performance",Electronic Markets,,,,10.1007/s12525-025-00770-2,Moritz von ZahnJan ZachariasMaximilian LowinJohannes ChenOliver Hinz,2025,https://link.springer.com/article/10.1007/s12525-025-00770-2,Article
Augmented Democracy in Action: AI Systems for Legislative Innovation in the Italian Parliament,Minds and Machines,,,,10.1007/s11023-025-09743-y,Luciano FloridiAnna Ascani,2025,https://link.springer.com/article/10.1007/s11023-025-09743-y,Article
Negotiating AI fairness: a call for rebalancing power relations,AI & SOCIETY,,,,10.1007/s00146-025-02653-8,Marta GibinEmmanouil KrasanakisKęstutis Grumodas,2025,https://link.springer.com/article/10.1007/s00146-025-02653-8,Article
"Algorithmic bias, fairness, and inclusivity: a multilevel framework for justice-oriented AI",AI & SOCIETY,,,,10.1007/s00146-025-02451-2,Paola PanareseMarta  Margherita GrassoClaudia Solinas,2025,https://link.springer.com/article/10.1007/s00146-025-02451-2,Article
Fairness of Academic Performance Prediction for the Distribution of Support Measures for Students: Differences in Perceived Fairness of Distributive Justice Norms,"Technology, Knowledge and Learning",,,,10.1007/s10758-023-09698-y,Marco LünichBirte KellerFrank Marcinkowski,2023,https://link.springer.com/article/10.1007/s10758-023-09698-y,Article
"Autonomous AI systems in the face of liability, regulations and costs",npj Digital Medicine,,,,10.1038/s41746-023-00929-1,Agustina D. SaenzZach HarnedOishi BanerjeeMichael D. AbràmoffPranav Rajpurkar,2023,https://link.springer.com/article/10.1038/s41746-023-00929-1,Article
"The ethical imperative of algorithmic fairness in AI-enabled hiring: a critical analysis of bias, accountability, and justice",AI and Ethics,,,,10.1007/s43681-025-00927-x,Jason Law,2025,https://link.springer.com/article/10.1007/s43681-025-00927-x,Article
"Fairness-preserving framework for machine learning: data bias quantification, model evaluation, and robustness across multiple datasets",AI and Ethics,,,,10.1007/s43681-025-00874-7,Shahadat UddinHaohui LuFarshid Hajati,2025,https://link.springer.com/article/10.1007/s43681-025-00874-7,Article
Fairness of artificial intelligence in healthcare: review and recommendations,Japanese Journal of Radiology,,,,10.1007/s11604-023-01474-3,Daiju UedaTaichi KakinumaShohei FujitaKoji KamagataYasutaka FushimiRintaro ItoYusuke MatsuiTaiki NozakiTakeshi NakauraNoriyuki FujimaFuminari TatsugamiMasahiro YanagawaKenji HirataAkira YamadaTakahiro TsuboyamaMariko KawamuraTomoyuki FujiokaShinji Naganawa,2023,https://link.springer.com/article/10.1007/s11604-023-01474-3,Article
Establishing responsible use of AI guidelines: a comprehensive case study for healthcare institutions,npj Digital Medicine,,,,10.1038/s41746-024-01300-8,Agustina D. SaenzThomas McCoyAllison Bryant ManthaRobert MartinRobert DamianoDeborah AdairDavid HeaneyRachel SisodiaLee ParkRobert ForsbergGerry TuffyShawn MurphyKeith DreyerMartha JonesHeather Jean CosierMerranda LoganYogendra BundelaAmanda CentiDavid TingJacqueline G. YouAdam LandmanRebecca G. Mishuris,2024,https://link.springer.com/article/10.1038/s41746-024-01300-8,Article
Bridging fair-aware artificial intelligence and co-creation for equitable mental healthcare,Nature Reviews Psychology,,,,10.1038/s44159-025-00491-5,Adela C. TimmonsJacqueline B. DuongSierra N. WaltersKayla E. CartaGrace A. JumonvilleAlyssa S. CarrascoDaniela N. RomeroMatthew W. AhleJonathan S. ComerIshita P. KhurdTheodora Chaspari,2025,https://link.springer.com/article/10.1038/s44159-025-00491-5,Article
